RespondentID,Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Datascientist,Database administrator,Desktop applications developer,Developer with stats/math background,DevOps,Embedded developer,Graphic designer,Graphics programming,Machine learning specialist,Mobile developer,Quality assurance engineer,Systems administrator,Web developer,    
3,United Kingdom,113750,20,1,1,1.00E+04,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,United Kingdom,1.00E+05,20,0,1,5.00E+03,Remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0,
18,United States,1.30E+05,20,1,1,1.00E+03,Remote,9,0,0,0,0,1,1,0,0,0,0,1,0,1,
19,United States,82500,3,0,1,1.00E+04,Not remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1,
26,United States,1.75E+05,16,0,1,1.00E+04,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
55,Germany,64516.12903,4,0,0,1.00E+03,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
62,India,6636.323594,1,0,1,5.00E+03,Not remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1,
71,United States,6.50E+04,1,0,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
73,United States,1.20E+05,20,1,1,100,Remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
77,United States,96283,20,1,1,1.00E+03,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
82,United States,1.10E+05,13,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
96,Germany,53763.44086,4,1,0,5.00E+03,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
100,United States,109400,7,1,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,0,
103,Germany,83870.96774,17,1,1,20,Not remote,9,0,0,1,1,0,0,0,0,0,0,0,0,0,
104,United States,5.10E+04,1,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
111,United Kingdom,32500,1,1,0,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
114,United Kingdom,3.00E+04,1,0,1,20,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0,
116,United States,9.00E+04,10,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
124,United States,1.15E+05,4,0,1,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,United States,9.30E+04,9,0,0,500,Not remote,7,0,0,1,1,1,0,0,0,0,0,1,0,0,
135,United States,92500,14,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1,
136,United Kingdom,32500,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
144,United Kingdom,43750,1,1,1,1,Not remote,5,1,1,1,1,0,0,1,1,0,0,0,0,1,
150,United Kingdom,113750,20,1,1,20,Not remote,9,0,0,1,0,1,0,0,0,0,1,0,0,1,
157,United States,8.00E+04,5,0,0,500,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
158,United States,100297,15,0,1,100,Remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
170,United States,1.00E+05,14,0,1,20,Not remote,7,0,1,0,0,1,0,0,0,0,0,0,1,1,
178,United States,1.20E+05,4,0,1,20,Not remote,10,0,1,1,1,1,0,0,0,0,1,0,1,1,
183,United Kingdom,131250,14,0,0,20,Not remote,10,0,0,0,0,0,0,1,1,0,1,0,0,1,
184,India,6606.95933,1,1,1,,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
192,Germany,10752.68817,1,0,1,10,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1,
193,Canada,87121.21212,10,0,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1,
196,United States,6.60E+04,7,0,0,1.00E+03,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
199,United States,1.46E+05,15,1,1,,Remote,8,0,0,1,0,0,0,0,1,0,1,0,0,0,
207,Canada,62121.21212,9,0,0,20,Not remote,6,0,1,0,0,1,0,0,0,0,0,0,0,1,
210,Canada,54545.45455,8,0,0,1.00E+03,Not remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1,
215,Germany,51612.90323,4,1,0,5.00E+03,Not remote,5,0,0,0,1,0,0,0,0,0,0,0,0,0,
217,United States,5.00E+04,15,1,1,1,Remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1,
220,United States,5.00E+04,2,1,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,1,0,0,1,
221,United States,1.85E+05,20,1,0,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
224,United States,1.60E+05,11,1,1,500,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
235,United States,6.30E+04,6,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1,
236,United States,6.70E+04,6,0,1,1.00E+03,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0,
238,United States,8.00E+04,5,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
239,United States,1.03E+05,15,1,1,500,Remote,8,0,1,0,0,0,0,0,0,0,0,0,0,0,
242,United States,8.10E+04,6,0,0,1.00E+03,Not remote,10,1,0,1,1,0,0,0,1,0,0,0,0,0,
250,United States,6.50E+04,2,0,1,5.00E+03,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
259,United States,6.50E+04,20,0,0,10,Not remote,7,0,0,0,0,0,1,0,0,0,0,1,0,0,
261,United Kingdom,63750,17,0,1,500,Not remote,5,0,0,1,0,1,0,0,0,0,0,0,0,1,
268,United States,1.15E+05,8,1,0,20,Remote,6,0,0,0,0,1,0,0,0,0,0,0,0,1,
275,United States,1.70E+05,18,0,1,,Remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1,
276,Canada,81060.60606,17,1,1,1.00E+03,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0,
282,United Kingdom,77500,10,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1,
285,India,14682.13185,3,1,0,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
292,United States,1.70E+05,4,1,1,1.00E+03,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0,
316,United States,9.70E+04,9,0,1,100,Remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1,
325,United States,1.20E+05,7,1,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
329,Germany,59139.78495,5,0,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0,
330,United Kingdom,62500,20,0,1,,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0,
336,United Kingdom,7.50E+04,8,1,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
341,Germany,53763.44086,5,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
348,United States,1.10E+05,4,1,1,,Remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0,
349,India,38173.5428,7,1,1,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
350,United States,8.50E+04,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
361,Canada,38484.84848,2,0,1,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1,
365,United States,1.65E+05,8,0,1,,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,0,
367,United States,1.00E+05,5,0,1,1,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1,
372,United States,6.10E+04,7,0,0,1.00E+03,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1,
374,United States,1.50E+05,20,1,1,1.00E+03,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1,
375,United States,8.20E+04,7,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
379,United States,8.50E+04,1,1,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
385,United Kingdom,43750,3,0,0,1,Not remote,4,0,0,0,0,0,0,0,0,0,1,0,0,0,
387,Germany,47311.82796,2,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
388,United States,1.10E+05,20,0,0,,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
401,United States,8.80E+04,1,0,1,20,Not remote,2,0,0,0,1,0,0,0,0,0,0,0,0,1,
407,United States,1.20E+05,20,0,1,20,Not remote,9,0,0,1,0,0,1,0,0,1,0,0,0,1,
419,Germany,4.00E+04,3,1,1,20,Not remote,7,1,0,0,0,0,0,0,0,0,0,0,1,1,
426,United Kingdom,1.50E+05,17,1,1,1.00E+03,Not remote,8,1,0,0,0,0,0,0,0,1,0,0,0,0,
430,United States,137500,8,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
432,United States,1.60E+05,20,1,1,500,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
434,United States,9.00E+04,13,0,1,500,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1,
